,,List Price,Address,City,Beds/Baths,Approx Living Area,DOM,Sold Price,Sold Date
,,"$180,000.00",233 PURDUE ST,LEHIGH ACRES,3 Bed/1(1),"1,073",2,"$200,000.00",07/29/22
,,"$210,000.00",1804 BEACHWOOD DR,NORTH FORT MYERS,2 Bed/1(0),768,4,"$200,000.00",12/14/22
,,"$220,000.00",10752 TIMBER PINES CT,NORTH FORT MYERS,2 Bed/2(0),920,10,"$200,000.00",07/28/22
,,"$201,000.00",201 E JASMINE RD,LEHIGH ACRES,2 Bed/1(0),990,0,"$201,000.00",07/27/22
,,"$199,500.00",3807 HIGHLAND AVE,FORT MYERS,3 Bed/1(0),936,6,"$202,500.00",08/12/22
,,"$199,900.00",111 ALCALA AVE,LEHIGH ACRES,2 Bed/1(1),997,16,"$203,000.00",11/01/22
,,"$200,000.00",314 SE 47TH TER,CAPE CORAL,3 Bed/2(0),"1,166",2,"$205,000.00",10/31/22
,,"$210,000.00",1122 SE 35TH ST,CAPE CORAL,2 Bed/2(0),"1,361",10,"$205,000.00",12/15/22
,,"$170,000.00",3610 NE 13TH AVE,CAPE CORAL,3 Bed/2(0),"1,588",4,"$205,000.00",07/12/22
,,"$221,900.00",5451 2ND AVE,FORT MYERS,4 Bed/1(0),"1,032",35,"$205,000.00",09/15/22
,,"$205,000.00",4275 WOODSIDE AVE,FORT MYERS,3 Bed/2(0),"1,144",7,"$205,000.00",09/23/22
,,"$199,000.00",435 LORRAINE DR,FORT MYERS,2 Bed/1(0),"1,044",7,"$205,000.00",08/31/22
,,"$205,000.00",4620 GOLFVIEW BLVD,LEHIGH ACRES,2 Bed/2(0),936,--,"$205,000.00",05/23/22
,,"$210,000.00",110 ALCALA CT,LEHIGH ACRES,2+Den/1(0),"1,060",10,"$205,000.00",10/21/22
,,"$210,000.00",1316 OAKWOOD DR,SEBRING,2+Den/1(0),986,42,"$206,000.00",12/30/22
,,"$207,000.00",1523 MARKDALE ST E,LEHIGH ACRES,2 Bed/2(0),"1,320",4,"$207,000.00",09/26/22
,,"$229,000.00",4016 E SUNFLOWER CIR,LABELLE,2 Bed/2(0),948,17,"$207,500.00",07/30/22
,,"$240,000.00",256 SE SANTA BARBARA PL,CAPE CORAL,2 Bed/2(0),"1,453",17,"$210,000.00",12/23/22
,,"$279,888.00",1220 SE 25TH TER,CAPE CORAL,2 Bed/2(0),"1,358",57,"$210,000.00",12/16/22
,,"$225,000.00",12100 COYLE RD,FORT MYERS,3 Bed/2(0),"1,134",5,"$210,000.00",12/14/22
,,"$215,000.00",1464 HEIMAN AVE,FORT MYERS,3 Bed/1(0),936,6,"$210,000.00",10/25/22
,,"$210,000.00",3048 THOMAS ST,FORT MYERS,3 Bed/1(0),"1,020",17,"$210,000.00",11/02/22
,,"$210,000.00",130 ANDROS ST,LEHIGH ACRES,2+Den/1(1),"1,316",6,"$210,000.00",12/08/22
,,"$230,000.00",117 ALCALA AVE,LEHIGH ACRES,3 Bed/1(0),"1,140",40,"$210,000.00",11/30/22
,,"$225,000.00",23 ALABAMA RD S,LEHIGH ACRES,3 Bed/1(0),920,59,"$210,000.00",11/10/22
,,"$215,000.00",376 BUTLER AVE S,LEHIGH ACRES,3 Bed/2(0),"1,499",0,"$210,000.00",08/29/22
,,"$205,000.00",505 SHADYSIDE ST,LEHIGH ACRES,2 Bed/2(0),"1,153",0,"$210,000.00",08/22/22
,,"$224,900.00",7358 WATSON LN,PORT CHARLOTTE,2 Bed/2(0),926,43,"$210,000.00",09/07/22
,,"$210,000.00",13361 CARIBBEAN BLVD,FORT MYERS,3 Bed/2(1),"1,533",3,"$212,000.00",12/01/22
,,"$210,000.00",7044 CALDER CIR,LABELLE,3 Bed/2(0),"1,143",1,"$212,000.00",08/11/22
,,"$219,000.00",912 HIBISCUS LN,NORTH FORT MYERS,3 Bed/1(0),"1,032",8,"$212,000.00",12/12/22
,,"$212,500.00",156 4TH ST,NAPLES,2+Den/1(0),768,--,"$212,500.00",08/11/22
,,"$230,000.00",7565 SUNCOAST DR,NORTH FORT MYERS,3 Bed/1(0),"1,040",22,"$213,000.00",11/21/22
,,"$213,500.00",1676 HEIMAN AVE,FORT MYERS,3 Bed/1(0),"1,040",8,"$213,500.00",09/27/22
,,"$224,900.00",126 ALBERT ST NE,FORT MEADE,3 Bed/1(0),"1,070",51,"$215,000.00",10/06/22
,,"$249,900.00",704 ZEPPELIN PL,FORT MYERS,3 Bed/2(0),"1,808",0,"$215,000.00",11/10/22
,,"$220,000.00",372 ALTAMONT AVE,FORT MYERS,2 Bed/1(0),"1,089",3,"$215,000.00",10/07/22
,,"$215,000.00",7058 BRAZIL CIR,LABELLE,3 Bed/2(0),"1,076",45,"$215,000.00",11/21/22
,,"$210,000.00",3004 ADCOCK DR,LABELLE,3 Bed/2(0),"1,143",1,"$215,000.00",09/01/22
,,"$239,000.00",306 OAKSIDE ST,LEHIGH ACRES,3 Bed/2(0),"1,405",3,"$215,000.00",12/29/22
,,"$210,000.00",15 ABBOTT AVE,LEHIGH ACRES,3 Bed/1(0),"1,250",4,"$215,000.00",10/06/22
,,"$225,000.00",103 ALABAMA RD S,LEHIGH ACRES,3 Bed/2(0),920,0,"$215,000.00",08/26/22
,,"$240,000.00",5444 MARTIN ST,NAPLES,3 Bed/2(0),"1,144",5,"$215,000.00",11/05/22
,,"$198,900.00",1661 CORONADO RD,FORT MYERS,3 Bed/2(0),"1,144",5,"$216,500.00",08/11/22
,,"$230,000.00",1920 OAKLEY AVE,FORT MYERS,3 Bed/1(0),"1,840",0,"$216,500.00",07/29/22
,,"$215,000.00",3828 BALLARD RD,FORT MYERS,2 Bed/1(0),763,10,"$217,000.00",12/12/22
,,"$230,000.00",306 LINCOLN BLVD,LEHIGH ACRES,2 Bed/1(1),917,2,"$218,773.00",08/29/22
,,"$219,000.00",10 PALM BLVD,LEHIGH ACRES,2 Bed/1(0),971,5,"$219,000.00",11/15/22
,,"$220,000.00",2933 SAINT CHARLES ST,FORT MYERS,3 Bed/1(0),920,33,"$220,000.00",11/19/22
,,"$220,000.00",4049 RAINBOW CIR,LABELLE,2 Bed/2(0),"1,262",15,"$220,000.00",09/21/22
,,"$225,000.00",1073 BELLS ST E,LEHIGH ACRES,3 Bed/2(0),"1,701",14,"$220,000.00",09/20/22
,,"$235,000.00",5301 2ND ST W,LEHIGH ACRES,3 Bed/2(0),"1,026",0,"$220,000.00",08/10/22
,,"$220,000.00",16 ESTATE DR,NORTH FORT MYERS,2 Bed/2(0),"1,317",0,"$220,000.00",12/14/22
,,"$220,000.00",3628 TROPICAL POINT DR,ST. JAMES CITY,3 Bed/2(0),"1,288",10,"$220,000.00",11/23/22
,,"$220,000.00",502 EMPIRE AVE S,LEHIGH ACRES,3 Bed/1(0),"1,012",4,"$221,000.00",11/29/22
,,"$219,000.00",2042 KATHERINE ST,FORT MYERS,2 Bed/1(0),"1,042",4,"$221,500.00",10/19/22
,,"$222,000.00",1320 ELLENDALE CIR,LEHIGH ACRES,2 Bed/1(0),997,11,"$222,000.00",08/22/22
,,"$239,950.00",3803 24TH ST SW,LEHIGH ACRES,3 Bed/2(0),"1,148",49,"$222,500.00",12/06/22
,,"$229,000.00",2035 CANAL ST,FORT MYERS,3 Bed/2(0),932,44,"$224,000.00",12/23/22
,,"$289,999.00",218 NE 10TH PL,CAPE CORAL,3 Bed/2(0),"1,146",40,"$225,000.00",09/09/22
,,"$225,000.00",18565 OCALA RD,FORT MYERS,3 Bed/2(0),"1,409",--,"$225,000.00",08/30/22
,,"$244,900.00",3 W CLERMONT CT,FORT MYERS,3 Bed/1(1),"1,050",65,"$225,000.00",12/05/22
,,"$319,900.00",809 SEA URCHIN CIR,FORT MYERS,3 Bed/2(0),"1,579",22,"$225,000.00",10/18/22
,,"$235,000.00",915 ALDERMAN ST,FORT MYERS,3 Bed/2(0),"1,269",15,"$225,000.00",09/24/22
,,"$225,000.00",1763 N MARKLEY CT,FORT MYERS,3 Bed/2(0),"1,050",4,"$225,000.00",08/15/22
,,"$250,000.00",3565 ROYAL PALM AVE,FORT MYERS,3 Bed/2(0),"1,034",8,"$225,000.00",07/29/22
,,"$229,900.00",2507 40TH ST W,LEHIGH ACRES,2 Bed/1(0),736,40,"$225,000.00",11/03/22
,,"$215,000.00",550 MCARTHUR BLVD,LEHIGH ACRES,3 Bed/2(0),984,7,"$225,000.00",09/23/22
,,"$225,000.00",5227 7TH ST W,LEHIGH ACRES,3 Bed/2(0),960,22,"$225,000.00",10/26/22
,,"$225,000.00",715 WILLOW DR,LEHIGH ACRES,2 Bed/2(0),"1,228",0,"$225,000.00",08/03/22
,,"$270,000.00",3819 4TH ST W,LEHIGH ACRES,4 Bed/2(0),"1,455",4,"$225,000.00",08/12/22
,,"$215,000.00",10741 COCOATREE CT,LEHIGH ACRES,3 Bed/3(0),"1,092",10,"$225,000.00",08/05/22
,,"$239,900.00",105 ALABAMA RD S,LEHIGH ACRES,2 Bed/1(0),"1,052",27,"$225,000.00",10/13/22
,,"$229,900.00",56 CARDINAL DR,NORTH FORT MYERS,3 Bed/2(0),"1,419",17,"$225,000.00",12/28/22
,,"$225,000.00",5682 FOXLAKE DR,NORTH FORT MYERS,2 Bed/2(0),"1,020",3,"$225,000.00",09/08/22
,,"$200,000.00",113 SE 46TH LN,CAPE CORAL,3 Bed/3(0),"2,058",1,"$225,100.00",11/07/22
,,"$238,500.00",818 SHELDON AVE,LEHIGH ACRES,3 Bed/2(0),"1,192",26,"$226,700.00",09/20/22
,,"$369,000.00",12062 HELIOS AVE,PORT CHARLOTTE,3 Bed/2(0),"1,609",66,"$226,999.00",12/27/22
,,"$229,500.00",842 CALUMET ST E,LEHIGH ACRES,3 Bed/1(0),912,4,"$227,000.00",12/30/22
,,"$225,000.00",4005 CASCADE LN,LABELLE,3 Bed/2(0),"1,286",11,"$227,500.00",09/23/22
,,"$225,000.00",827 EL DORADO PKWY E,CAPE CORAL,2 Bed/2(0),"1,225",2,"$228,000.00",11/16/22
,,"$229,000.00",2156 STELLA ST,FORT MYERS,2 Bed/1(0),915,19,"$229,000.00",08/29/22
,,"$229,000.00",214 SEATON AVE,LEHIGH ACRES,2+Den/2(0),"1,204",2,"$229,000.00",10/14/22
,,"$200,000.00",1513 SW 52ND LN,CAPE CORAL,2 Bed/2(0),"1,590",5,"$230,000.00",11/22/22
,,"$249,900.00",320 SE 26TH TER,CAPE CORAL,3 Bed/2(0),"1,081",4,"$230,000.00",08/26/22
,,"$269,000.00",1929 PASSAIC AVE,FORT MYERS,3 Bed/2(0),"1,332",94,"$230,000.00",10/14/22
,,"$250,000.00",2330 CALADIUM RD,FORT MYERS,2 Bed/2(0),"1,220",18,"$230,000.00",08/18/22
,,"$299,900.00",2149 BURTON AVE,FORT MYERS,3 Bed/2(0),"1,616",27,"$230,000.00",08/30/22
,,"$229,900.00",4073 S EDGEWATER CIR,LABELLE,3 Bed/2(0),"1,208",0,"$230,000.00",08/26/22
,,"$240,000.00",2909 23RD ST SW,LEHIGH ACRES,2+Den/2(0),"1,686",10,"$230,000.00",11/23/22
,,"$235,000.00",2710 56TH ST W,LEHIGH ACRES,3 Bed/2(0),"1,408",35,"$230,000.00",12/16/22
,,"$227,000.00",3810 5TH ST W,LEHIGH ACRES,3 Bed/2(0),"1,126",3,"$230,000.00",12/02/22
,,"$230,000.00",1122 GIFFORD AVE N,LEHIGH ACRES,3 Bed/1(0),"1,006",6,"$230,000.00",10/04/22
,,"$270,000.00",4004 4TH ST W,LEHIGH ACRES,3+Den/2(0),"1,670",3,"$230,000.00",10/27/22
,,"$230,000.00",317 HOLLYWOOD ST N,LEHIGH ACRES,2 Bed/2(0),"1,176",7,"$230,000.00",10/14/22
,,"$220,000.00",1420 HOMESTEAD RD N,LEHIGH ACRES,2 Bed/1(1),920,69,"$230,000.00",12/16/22
